Person code,Person name,Project code,Project name,Activity code,Activity name,Decimal,Price,Year,Month
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Z Opkuisen atelier,Z Opkuisen atelier,3.6,0,2096,8
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Z Opkuisen atelier,Z Opkuisen atelier,3.78,0,2096,8
Piet,Piet Van Dender,150090b Van Gasse,150090b Van Gasse,Maatwerk PLAATSEN,Maatwerk PLAATSEN,3.25,126.75,2096,8
Piet,Piet Van Dender,150090b Van Gasse,150090b Van Gasse,Maatwerk PLAATSEN,Maatwerk PLAATSEN,3.15,122.85,2096,8
Piet,Piet Van Dender,,,X Extra werk allerlei,X Extra werk allerlei,0.92,35.75,2096,8
Piet,Piet Van Dender,150104 Bogaert,150104 Bogaert,X Extra werk allerlei,X Extra werk allerlei,1.02,39.65,2096,8
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,1.37,0,2096,8
Piet,Piet Van Dender,140040b KNOP,140040b KNOP,Maatwerk MAKEN,Maatwerk MAKEN,0.53,20.8,2096,8
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Z Opkuisen atelier,Z Opkuisen atelier,18.82,0,2096,8
Piet,Piet Van Dender,150040 Knop ,150040 Knop ,Maatwerk PLAATSEN,Maatwerk PLAATSEN,2.7,105.3,2096,8
Piet,Piet Van Dender,150104 Bogaert,150104 Bogaert,X Extra werk allerlei,X Extra werk allerlei,0.97,37.7,2096,8
Piet,Piet Van Dender,150040 Knop ,150040 Knop ,Maatwerk PLAATSEN,Maatwerk PLAATSEN,3.97,154.7,2096,8
Piet,Piet Van Dender,150040 Knop ,150040 Knop ,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.15,161.85,2096,8
Piet,Piet Van Dender,150040 Knop ,150040 Knop ,Maatwerk PLAATSEN,Maatwerk PLAATSEN,3.97,154.7,2096,8
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,0.65,0,2096,8
Piet,Piet Van Dender,150104 Bogaert,150104 Bogaert,X Extra werk allerlei,X Extra werk allerlei,0.98,38.35,2096,8
Piet,Piet Van Dender,150104 Bogaert,150104 Bogaert,X Extra werk allerlei,X Extra werk allerlei,2.55,99.45,2096,8
Piet,Piet Van Dender,150104 Bogaert,150104 Bogaert,Maatwerk PLAATSEN,Maatwerk PLAATSEN,0,0,2096,8
Piet,Piet Van Dender,150040 Knop ,150040 Knop ,Maatwerk MAKEN,Maatwerk MAKEN,2.27,88.4,2096,8
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,8.48,0,2096,8
Piet,Piet Van Dender,150090b Van Gasse,150090b Van Gasse,Maatwerk MAKEN,Maatwerk MAKEN,4.03,157.3,2096,8
Piet,Piet Van Dender,150090b Van Gasse,150090b Van Gasse,Maatwerk MAKEN,Maatwerk MAKEN,3.87,150.8,2096,8
Piet,Piet Van Dender,150081 Pimpeloentje,150081 Pimpeloentje,X Extra werk allerlei,X Extra werk allerlei,2.58,100.75,2096,8
Piet,Piet Van Dender,150092 Van Loo,150092 Van Loo,Maatwerk MAKEN,Maatwerk MAKEN,3.13,122.2,2096,8
Piet,Piet Van Dender,150092 Van Loo,150092 Van Loo,Maatwerk MAKEN,Maatwerk MAKEN,3.9,152.1,2096,8
Piet,Piet Van Dender,150081 Pimpeloentje,150081 Pimpeloentje,X Extra werk allerlei,X Extra werk allerlei,0.92,35.75,2096,8
Piet,Piet Van Dender,150092 Van Loo,150092 Van Loo,Maatwerk PLAATSEN,Maatwerk PLAATSEN,3.97,154.7,2096,8
Piet,Piet Van Dender,150092 Van Loo,150092 Van Loo,Maatwerk PLAATSEN,Maatwerk PLAATSEN,0.03,1.3,2096,8
Piet,Piet Van Dender,150092 Van Loo,150092 Van Loo,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.2,163.8,2096,8
Piet,Piet Van Dender,150092 Van Loo,150092 Van Loo,Maatwerk MAKEN,Maatwerk MAKEN,3.93,153.4,2096,8
Piet,Piet Van Dender,150092 Van Loo,150092 Van Loo,Maatwerk MAKEN,Maatwerk MAKEN,3.02,117.65,2096,8
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,1.07,0,2096,8
Piet,Piet Van Dender,150092 Van Loo,150092 Van Loo,Maatwerk MAKEN,Maatwerk MAKEN,4.02,156.65,2096,8
Piet,Piet Van Dender,150092 Van Loo,150092 Van Loo,Maatwerk MAKEN,Maatwerk MAKEN,2.85,111.15,2096,8
Piet,Piet Van Dender,150092 Van Loo,150092 Van Loo,Maatwerk MAKEN,Maatwerk MAKEN,1.17,45.5,2096,8
Piet,Piet Van Dender,150092 Van Loo,150092 Van Loo,Maatwerk MAKEN,Maatwerk MAKEN,0.35,13.65,2096,8
Piet,Piet Van Dender,VDP,VDP INTERIEUR BVBA,Administratie,Administratie,0.97,0,2096,8
Piet,Piet Van Dender,150092 Van Loo,150092 Van Loo,Maatwerk MAKEN,Maatwerk MAKEN,2.62,102.05,2096,8
Piet,Piet Van Dender,150104 Bogaert,150104 Bogaert,Maatwerk MAKEN,Maatwerk MAKEN,0,0,2096,1
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,Maatwerk PLAATSEN,Maatwerk PLAATSEN,0.87,33.8,2019,1
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,X Extra werk allerlei,X Extra werk allerlei,1.67,65,2019,1
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,Maatwerk PLAATSEN,Maatwerk PLAATSEN,3.83,149.5,2019,1
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,Maatwerk MAKEN,Maatwerk MAKEN,1.47,57.2,2019,1
Anton,Anton De Prijcker,140412 De Wilde - De Vos,140412 De Wilde - De Vos,Maatwerk PLAATSEN,Maatwerk PLAATSEN,2.72,105.95,2019,1
Anton,Anton De Prijcker,140412 De Wilde - De Vos,140412 De Wilde - De Vos,Maatwerk MAKEN,Maatwerk MAKEN,0.87,33.8,2019,1
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,Maatwerk MAKEN,Maatwerk MAKEN,0.33,13,2019,1
Anton,Anton De Prijcker,140329B HOLVOET,140329B HOLVOET,Maatwerk MAKEN,Maatwerk MAKEN,3.95,154.05,2019,1
Anton,Anton De Prijcker,140412 De Wilde - De Vos,140412 De Wilde - De Vos,Maatwerk PLAATSEN,Maatwerk PLAATSEN,3.97,154.7,2019,1
Anton,Anton De Prijcker,140412 De Wilde - De Vos,140412 De Wilde - De Vos,Maatwerk PLAATSEN,Maatwerk PLAATSEN,4.9,191.1,2019,1
Anton,Anton De Prijcker,140040b KNOP,140040b KNOP,Maatwerk MAKEN,Maatwerk MAKEN,2.1,81.9,2016,2
